Allele,CE-54,EE-54,LPI-54,LPII-54,WO-54,RC-54,EO-54,SF-54
Dbug1_1,0.000,0.000,0.000,0.009,0.000,0.000,0.028,0.000
Dbug1_2,0.139,0.102,0.140,0.104,0.127,0.132,0.075,0.125
Dbug1_3,0,0,0.01,0,0,0,0.019,0
Dbug1_4,0.009,0.000,0.000,0.028,0.000,0.047,0.000,0.000
Dbug1_5,0.019,0.083,0.030,0.179,0.029,0.132,0.019,0.115
Dbug1_6,0.176,0.093,0.1,0.113,0.069,0.047,0.094,0.038
Dbug1_7,0,0.019,0.03,0.057,0.01,0.057,0,0
Dbug1_8,0.074,0.074,0.100,0.038,0.098,0.085,0.113,0.067
Dbug1_9,0.028,0.028,0.02,0.085,0.029,0.123,0.019,0.058
Dbug1_10,0.000,0.019,0.000,0.000,0.000,0.009,0.000,0.000
Dbug1_11,0.111,0.167,0.06,0,0.049,0.019,0.057,0.067
Dbug1_12,0.102,0.056,0.08,0.019,0.196,0.009,0.066,0.125
Dbug1_13,0.009,0.019,0.040,0.009,0.029,0.009,0.057,0.010
Dbug1_14,0.000,0.019,0.000,0.000,0.010,0.000,0.028,0.019
Dbug1_15,0.009,0.000,0.010,0.000,0.000,0.028,0.028,0.000
Dbug1_16,0.009,0,0,0,0,0.009,0,0
Dbug1_17,0.009,0.000,0.010,0.000,0.000,0.000,0.000,0.019
Dbug1_18,0.000,0.009,0.000,0.000,0.000,0.019,0.000,0.000
Dbug1_19,0,0.019,0,0.038,0.01,0,0,0
Dbug1_20,0.009,0.009,0.02,0,0,0,0,0
Dbug1_21,0.000,0.000,0.000,0.000,0.000,0.009,0.028,0.000
Dbug1_22,0,0.009,0.02,0.009,0.01,0,0,0
Dbug1_23,0.000,0.000,0.000,0.019,0.010,0.019,0.000,0.000
Dbug1_24,0.000,0.000,0.020,0.028,0.000,0.000,0.000,0.000
Dbug1_25,0.037,0.009,0.01,0,0,0.009,0.038,0.019
Dbug1_26,0.019,0.028,0.030,0.000,0.029,0.009,0.019,0.029
Dbug1_27,0.028,0.037,0.010,0.000,0.039,0.000,0.009,0.087
Dbug1_28,0,0.019,0.02,0.028,0.01,0.009,0.009,0
Dbug1_29,0,0.037,0.04,0,0,0,0.019,0
Dbug1_30,0.009,0.000,0.010,0.066,0.029,0.028,0.000,0.010
Dbug1_31,0.037,0,0.01,0.028,0.059,0.028,0.028,0.019
Dbug1_32,0.028,0.046,0.010,0.057,0.059,0.094,0.085,0.029
Dbug1_33,0.028,0.019,0.05,0,0.02,0,0.009,0.058
Dbug1_34,0.009,0.009,0.03,0,0.039,0.038,0.047,0.029
Dbug1_35,0.019,0.028,0.040,0.019,0.010,0.000,0.019,0.019
Dbug1_36,0.019,0.009,0.030,0.038,0.010,0.019,0.000,0.010
Dbug1_37,0.000,0.000,0.020,0.000,0.000,0.000,0.038,0.000
Dbug1_38,0,0,0,0.019,0,0.009,0.009,0.01
Dbug1_39,0.009,0.000,0.000,0.009,0.000,0.000,0.009,0.019
Dbug1_40,0.037,0.028,0.000,0.000,0.020,0.000,0.028,0.000
